,name,chapters,category,category2,category3,category4,category5,category6,category7,category8,categoy9,watch
0,86 EIGHTY-SIX,49 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
1,91 Days,14 chapters,Action,Historical,Seinen,-,-,-,-,-,-,Avalible on Crunchyroll
2,A Certain Magical Index III,50 chapters,Action,Fantasy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
3,A Certain Scientific Accelerator,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
4,A Certain Scientific Railgun,49 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
5,Absolute Duo,12 chapters,Action,Fantasy,Romance,-,-,-,-,-,-,Avalible on Crunchyroll
6,Active Raid,24 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
7,Akashic Records of Bastard Magical Instructor,24 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
8,Akudama Drive,24 chapters,Action,Thriller,-,-,-,-,-,-,-,Avalible on Crunchyroll
9,Alderamin on the Sky,13 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
10,Aldnoah Zero,25 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
11,Alice & Zoroku,13 chapters,Action,Adventure,Slice of Life,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
12,ALL OUT!!,25 chapters,Action,Sports,-,-,-,-,-,-,-,Avalible on Crunchyroll
13,AMAIM Warrior at the Borderline,25 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
14,Ange Vierge,12 chapters,Action,Adventure,Fantasy,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
15,Angel Beats!,13 chapters,Action,Comedy,Fantasy,Romance,-,-,-,-,-,Avalible on Crunchyroll
16,Angolmois: Record of Mongol Invasion,12 chapters,Action,Historical,-,-,-,-,-,-,-,Avalible on Crunchyroll
17,Anime Crimes Division,9 chapters,Action,Comedy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
18,Assassination Classroom,140 chapters,Action,Comedy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
19,ASSASSINS PRIDE,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
20,Assault Lily BOUQUET,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
21,Attack on Titan,96 chapters,Action,Adventure,Fantasy,Post Apocalyptic,Thriller,-,-,-,-,Avalible on Crunchyroll
22,Attack on Titan (Dubs),119 chapters,Action,Adventure,Fantasy,Shonen,-,-,-,-,-,Avalible on Crunchyroll
23,AZUR LANE,24 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
24,BAKUMATSU,24 chapters,Action,-,-,-,-,-,-,-,-,Avalible on Crunchyroll
25,Basilisk : The Ouka Ninja Scrolls,24 chapters,Action,Fantasy,Historical,Seinen,-,-,-,-,-,Avalible on Crunchyroll
26,Battle Game in 5 Seconds,24 chapters,Action,Thriller,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
27,BBK/BRNK,24 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
28,Berserk,26 chapters,Action,Fantasy,Seinen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
29,Big Order,10 chapters,Action,Mistery,Post Apocalyptic,Thriller,-,-,-,-,-,Avalible on Crunchyroll
30,Black Cat,24 chapters,Action,Comedy,-,-,-,-,-,-,-,Avalible on Crunchyroll
31,Black Clover,171 chapters,Action,Adventure,Comedy,Fantasy,Shonen,-,-,-,-,Avalible on Crunchyroll
32,Black Clover (Doblajes),283 chapters,Action,Adventure,Comedy,Fantasy,Shonen,-,-,-,-,Avalible on Crunchyroll
33,Black Rock Shooter,8 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
34,Black Summoner,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
35,BLACKFOX,1 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
36,Blade and Soul,13 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
37,Blade Runner: Black Lotus,26 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
38,Bleach (International Dubs),228 chapters,Action,Adventure,Comedy,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
39,Blood Blockade Battlefront,24 chapters,Action,Sci-fi,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
40,Bloodivores,12 chapters,Action,Supernatural,-,-,-,-,-,-,-,Avalible on Crunchyroll
41,Blue Exorcist,37 chapters,Action,Adventure,Comedy,Fantasy,Supernatural,-,-,-,-,Avalible on Crunchyroll
42,Blue Reflection Ray,48 chapters,Action,-,-,-,-,-,-,-,-,Avalible on Crunchyroll
43,BORUTO: NARUTO NEXT GENERATIONS,269 chapters,Action,Adventure,Fantasy,Shonen,-,-,-,-,-,Avalible on Crunchyroll
44,Brave 10,12 chapters,Action,Adventure,Historical,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
45,Brave Witches,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
46,Bungo Stray Dogs,64 chapters,Action,Comedy,Historical,Mistery,Seinen,Supernatural,-,-,-,Avalible on Crunchyroll
47,BURN THE WITCH,6 chapters,Action,Fantasy,Shonen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
48,Burst Angel,25 chapters,Action,Mecha,Post Apocalyptic,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
49,Butlers X Battlers,12 chapters,Action,Supernatural,-,-,-,-,-,-,-,Avalible on Crunchyroll
50,Caligula,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
51,CARDFIGHT!! VANGUARD overDress,38 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
52,Cerberus,13 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
53,CESTVS -The Roman Fighter-,11 chapters,Action,Historical,Seinen,-,-,-,-,-,-,Avalible on Crunchyroll
54,Chain Chronicle - The Light of Haecceitas -,24 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
55,Cheating Craft,12 chapters,Action,Comedy,-,-,-,-,-,-,-,Avalible on Crunchyroll
56,Children of Ether,1 chapters,Action,Adventure,Seinen,-,-,-,-,-,-,Avalible on Crunchyroll
57,Chokkyuu Hyoudai Robot Anime,12 chapters,Action,Comedy,Mecha,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
58,CHRONOS RULER,13 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
59,Code Geass,50 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
60,Code Geass - Akito the Exiled,5 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
61,Conception,12 chapters,Action,Adventure,Fantasy,Romance,Sci-fi,-,-,-,-,Avalible on Crunchyroll
62,Cowboy Bebop,78 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
63,D_CIDE TRAUMEREI THE ANIMATION,13 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
64,Dai-Shogun - Great Revolution,12 chapters,Action,Harem,Historical,Mecha,Sci-fi,-,-,-,-,Avalible on Crunchyroll
65,Dances with the Dragons,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
66,DARLING in the FRANXX,72 chapters,Action,Mecha,Romance,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
67,Date A Live,48 chapters,Action,Comedy,Fantasy,Harem,Romance,Sci-fi,-,-,-,Avalible on Crunchyroll
68,Demon Slayer: Kimetsu no Yaiba,90 chapters,Action,Fantasy,Shonen,-,-,-,-,-,-,Avalible on Crunchyroll
69,Dies Irae,18 chapters,Action,Fantasy,Historical,-,-,-,-,-,-,Avalible on Crunchyroll
70,Digimon Adventure: (2020),67 chapters,Action,Adventure,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
71,Digimon Universe App Monsters,52 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
72,DOUBLE DECKER! DOUG & KIRILL,16 chapters,Action,Sci-fi,Seinen,-,-,-,-,-,-,Avalible on Crunchyroll
73,Dr. STONE,73 chapters,Action,Adventure,Comedy,Post Apocalyptic,Sci-fi,Shonen,-,-,-,Avalible on Crunchyroll
74,Dragon Ball,182 chapters,Action,Adventure,Shonen,-,-,-,-,-,-,Avalible on Crunchyroll
75,Dragon Ball Super,131 chapters,Action,Fantasy,Sci-fi,Shonen,-,-,-,-,-,Avalible on Crunchyroll
76,DRAGON QUEST The Adventure of Dai,98 chapters,Action,Adventure,Fantasy,Shonen,-,-,-,-,-,Avalible on Crunchyroll
77,DRAMAtical Murder,12 chapters,Action,Romance,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
78,Engage Kiss,14 chapters,Action,Comedy,Romance,-,-,-,-,-,-,Avalible on Crunchyroll
79,ETOTAMA,12 chapters,Action,Comedy,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
80,EX-ARM,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
81,Fairy gone,48 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
82,Fairy Tail,153 chapters,Action,Adventure,Comedy,Fantasy,Shonen,-,-,-,-,Avalible on Crunchyroll
83,Fate Zero,25 chapters,Action,Fantasy,Shonen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
84,Fate/Grand Order Absolute Demonic Front: Babylonia,23 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
85,Fate/Grand Order ‐First Order‐,1 chapters,Action,Fantasy,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
86,Fate/kaleid liner PRISMA ILLYA,42 chapters,Action,Fantasy,Magical Girls,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
87,Fate/Stay night,26 chapters,Action,Fantasy,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
88,Fena: Pirate Princess,12 chapters,Action,Adventure,Romance,-,-,-,-,-,-,Avalible on Crunchyroll
89,Fight League: Gear Gadget Generators,26 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
90,FINAL FANTASY XV: EPISODE ARDYN – PROLOGUE,1 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
91,Fire Force,168 chapters,Action,Fantasy,Shonen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
92,Fist of the Blue Sky: Regenesis,24 chapters,Action,Adventure,Shonen,-,-,-,-,-,-,Avalible on Crunchyroll
93,Flame of Recca,42 chapters,Action,Adventure,Shonen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
94,FLCL Progressive / Alternative,12 chapters,Action,Comedy,Mecha,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
95,For Whom The Alchemist Exists The Movie,1 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
96,FreakAngels,9 chapters,Action,Fantasy,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
97,Full Metal Panic! Invisible Victory,12 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
98,Full Metal Panic! The Second Raid,13 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
99,Fullmetal Alchemist: Brotherhood,64 chapters,Action,Adventure,Fantasy,Shonen,Thriller,-,-,-,-,Avalible on Crunchyroll
100,Fullmetal Alchemist: El conquistador de Shamballa,1 chapters,Action,Adventure,Fantasy,Historical,Shonen,-,-,-,-,Avalible on Crunchyroll
101,FUUTO PI,18 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
102,Gakusen Toshi Asterisk,24 chapters,Action,Adventure,Fantasy,Harem,Sci-fi,-,-,-,-,Avalible on Crunchyroll
103,GARO -VANISHING LINE-,24 chapters,Action,Fantasy,Sci-fi,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
104,Gatchaman Crowds,25 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
105,GeGeGe no Kitaro (2018),97 chapters,Action,Adventure,Comedy,Fantasy,Shonen,Supernatural,-,-,-,Avalible on Crunchyroll
106,gen:LOCK,8 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
107,GIBIATE,12 chapters,Action,Fantasy,Sci-fi,Thriller,-,-,-,-,-,Avalible on Crunchyroll
108,Gifu Dodo!! Kanetsugu and Keiji,25 chapters,Action,Historical,-,-,-,-,-,-,-,Avalible on Crunchyroll
109,Gintama,379 chapters,Action,Adventure,Comedy,Fantasy,Historical,Sci-fi,Shonen,Slice of Life,-,Avalible on Crunchyroll
110,Girls' Frontline,12 chapters,Action,-,-,-,-,-,-,-,-,Avalible on Crunchyroll
111,Girly Air Force,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
112,GOBLIN SLAYER,14 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
113,God Eater,13 chapters,Action,Post Apocalyptic,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
114,Gokukoku no Buryunhirude,13 chapters,Action,Fantasy,Mistery,Romance,-,-,-,-,-,Avalible on Crunchyroll
115,Golden Kamuy,37 chapters,Action,Adventure,Historical,Mistery,Seinen,Slice of Life,-,-,-,Avalible on Crunchyroll
116,Grimms Notes the Animation,12 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
117,Gundam Build Divers,52 chapters,Action,Mecha,Sci-fi,Slice of Life,-,-,-,-,-,Avalible on Crunchyroll
118,Gundam Build Fighters,50 chapters,Action,Mecha,Sci-fi,Slice of Life,-,-,-,-,-,Avalible on Crunchyroll
119,Gunslinger Stratos,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
120,Hajime No Ippo: The Fighting!,25 chapters,Action,Sports,-,-,-,-,-,-,-,Avalible on Crunchyroll
121,Hakata Tonkotsu Ramens,12 chapters,Action,Mistery,-,-,-,-,-,-,-,Avalible on Crunchyroll
122,Hakkenden: Touhou Hakken Ibun,26 chapters,Action,Fantasy,Shojo,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
123,Hamatora,24 chapters,Action,Comedy,Mistery,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
124,Hand Shakers,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
125,Hayate no Gotoku!,24 chapters,Action,Comedy,Harem,Romance,Slice of Life,-,-,-,-,Avalible on Crunchyroll
126,Hayate the Combat Butler! (Temporadas 1 & 2),77 chapters,Action,Comedy,Harem,Romance,Slice of Life,-,-,-,-,Avalible on Crunchyroll
127,Healin' Good Pretty Cure,45 chapters,Action,Fantasy,Shojo,-,-,-,-,-,-,Avalible on Crunchyroll
128,Hellsing,13 chapters,Action,Sci-fi,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
129,High School Prodigies Have It Easy Even In Another World,24 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
130,Hina Logic - from Luck & Logic,12 chapters,Action,Comedy,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
131,Hinomaru Sumo,24 chapters,Action,Shonen,Sports,-,-,-,-,-,-,Avalible on Crunchyroll
132,hitorinoshita - The Outcast,37 chapters,Action,Supernatural,-,-,-,-,-,-,-,Avalible on Crunchyroll
133,Hitsugi no Chaika,22 chapters,Action,Adventure,Fantasy,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
134,Hotel Sparrow,12 chapters,Action,Comedy,Seinen,Slice of Life,-,-,-,-,-,Avalible on Crunchyroll
135,Hundred,12 chapters,Action,Comedy,Fantasy,Harem,Sci-fi,-,-,-,-,Avalible on Crunchyroll
136,Hunter x Hunter,148 chapters,Action,Adventure,Comedy,Fantasy,Shonen,Supernatural,-,-,-,Avalible on Crunchyroll
137,I'm Standing on a Million Lives,48 chapters,Action,Adventure,Fantasy,-,-,-,-,-,-,Avalible on Crunchyroll
138,In Another World With My Smartphone,24 chapters,Action,Adventure,Fantasy,Harem,-,-,-,-,-,Avalible on Crunchyroll
139,In/Spectre,12 chapters,Action,Fantasy,Mistery,Romance,Thriller,Supernatural,-,-,-,Avalible on Crunchyroll
140,Inferno Cop,13 chapters,Action,Comedy,Sci-fi,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
141,Inou-Battle wa Nichijou-kei no Naka de,12 chapters,Action,Comedy,Harem,Romance,Slice of Life,Supernatural,-,-,-,Avalible on Crunchyroll
142,ISUCA,10 chapters,Action,Comedy,Romance,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
143,Iwakakeru -Sport Climbing Girls-,12 chapters,Action,Sports,-,-,-,-,-,-,-,Avalible on Crunchyroll
144,Ixion Saga,25 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
145,Izetta: The Last Witch,12 chapters,Action,Fantasy,Historical,Romance,Supernatural,-,-,-,-,Avalible on Crunchyroll
146,JoJo no Kimyō na Bōken,158 chapters,Action,Adventure,Shonen,Thriller,Supernatural,-,-,-,-,Avalible on Crunchyroll
147,Joker Game,24 chapters,Action,Historical,Mistery,Seinen,Thriller,-,-,-,-,Avalible on Crunchyroll
148,JORAN THE PRINCESS OF SNOW AND BLOOD,12 chapters,Action,Fantasy,Historical,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
149,JUJUTSU KAISEN,62 chapters,Action,Shonen,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
150,JUNI TAISEN：ZODIAC WAR,12 chapters,Action,Fantasy,Shonen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
151,Kabaneri of the Iron Fortress,14 chapters,Action,Post Apocalyptic,Thriller,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
152,Kancolle,12 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
153,Katana Maidens -Tomoshibi,2 chapters,Action,Adventure,-,-,-,-,-,-,-,Avalible on Crunchyroll
154,Katana Maidens ~ Mini Toji,11 chapters,Action,Comedy,-,-,-,-,-,-,-,Avalible on Crunchyroll
155,Katana Maidens ~ Toji No Miko,25 chapters,Action,Fantasy,Supernatural,-,-,-,-,-,-,Avalible on Crunchyroll
156,Katsugeki TOUKEN RANBU,13 chapters,Action,Fantasy,Historical,-,-,-,-,-,-,Avalible on Crunchyroll
157,Kaze No Stigma,24 chapters,Action,Romance,Shonen,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
158,Keijo!!!!!!!!,12 chapters,Action,Sports,-,-,-,-,-,-,-,Avalible on Crunchyroll
159,Kemono Jihen,36 chapters,Action,Shonen,-,-,-,-,-,-,-,Avalible on Crunchyroll
160,KenIchi: The Mightiest Disciple,10 chapters,Action,Shonen,-,-,-,-,-,-,-,Avalible on Crunchyroll
161,Kenka Bancho Otome -Girl Beats Boys-,12 chapters,Action,Romance,Shojo,-,-,-,-,-,-,Avalible on Crunchyroll
162,Kill la Kill,24 chapters,Action,Adventure,Comedy,Mecha,Post Apocalyptic,Sci-fi,Shonen,-,-,Avalible on Crunchyroll
163,Kingdom,129 chapters,Action,Historical,Seinen,-,-,-,-,-,-,Avalible on Crunchyroll
164,Kino's Journey -the Beautiful World- the Animated Series,12 chapters,Action,Adventure,Fantasy,Mistery,Seinen,Slice of Life,-,-,-,Avalible on Crunchyroll
165,Knights of Sidonia,36 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
166,Knight’s & Magic,13 chapters,Action,Adventure,Mecha,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
167,Kuro Shitsuji: Book of Circus,10 chapters,Action,Comedy,Mistery,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
168,Kuroko no Basuke,82 chapters,Action,Shonen,Sports,-,-,-,-,-,-,Avalible on Crunchyroll
169,Kyousougiga,13 chapters,Action,Fantasy,Sci-fi,Slice of Life,Supernatural,-,-,-,-,Avalible on Crunchyroll
170,Lance N' Masques,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
171,Last Period: the journey to the end of the despair,12 chapters,Action,Adventure,Comedy,Fantasy,-,-,-,-,-,Avalible on Crunchyroll
172,Legend of the Galactic Heroes: Die Neue These,37 chapters,Action,Sci-fi,-,-,-,-,-,-,-,Avalible on Crunchyroll
173,Log Horizon,74 chapters,Action,Adventure,Fantasy,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
174,Lord Marksman and Vanadis,13 chapters,Action,Adventure,Fantasy,Harem,Historical,-,-,-,-,Avalible on Crunchyroll
175,Lord of Vermilion: The Crimson King,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
176,Lucifer and the Biscuit Hammer,13 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
177,Lupin III - Cuarta Parte,26 chapters,Action,Adventure,Mistery,Seinen,-,-,-,-,-,Avalible on Crunchyroll
178,LUPIN THE 3rd PART 5,24 chapters,Action,Adventure,Mistery,Seinen,-,-,-,-,-,Avalible on Crunchyroll
179,Lycoris Recoil,24 chapters,Action,Slice of Life,-,-,-,-,-,-,-,Avalible on Crunchyroll
180,MAGATSU WAHRHEIT,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
181,Magi,25 chapters,Action,Adventure,Fantasy,Shonen,-,-,-,-,-,Avalible on Crunchyroll
182,Magia en la Gran Ciudad,1 chapters,Action,Adventure,Fantasy,Mistery,Supernatural,-,-,-,-,Avalible on Crunchyroll
183,MAGICAL CIRCLE GURU-GURU,24 chapters,Action,Adventure,Comedy,Fantasy,-,-,-,-,-,Avalible on Crunchyroll
184,Magical Girl Raising Project,12 chapters,Action,Fantasy,Sci-fi,Seinen,-,-,-,-,-,Avalible on Crunchyroll
185,Magical Girl Spec-Ops Asuka,12 chapters,Action,Fantasy,-,-,-,-,-,-,-,Avalible on Crunchyroll
186,Mahouka Koukou no Rettousei,53 chapters,Action,Fantasy,Sci-fi,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
187,Majin Bone,52 chapters,Action,Fantasy,Shonen,-,-,-,-,-,-,Avalible on Crunchyroll
188,MARSRED,26 chapters,Action,Fantasy,Historical,Sci-fi,-,-,-,-,-,Avalible on Crunchyroll
189,Mob Psycho 100,55 chapters,Action,Comedy,Fantasy,Supernatural,-,-,-,-,-,Avalible on Crunchyroll
190,Mobile Fighter G Gundam,49 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
191,Mobile Suit Gundam 00,50 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
192,Mobile Suit GUNDAM Iron Blooded Orphans,50 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
193,Mobile Suit Gundam Seed,48 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
194,Mobile Suit Gundam Seed Destiny,50 chapters,Action,Mecha,Sci-fi,-,-,-,-,-,-,Avalible on Crunchyroll
